Candidate Name,District,Cook Rating,Position,Source,Source URL
Emanuel Cleaver,MO-05,Solid R,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Josh Smead,MO-06,Solid R,Does not support Medicare for All,Campaign site,https://votesmead.com/
Missi Hesketh,MO-07,Solid R,Supports Medicare for All or single-payer,Campaign site,https://www.missiformo.com/healthcare-that-works-for-all
Christopher Riechard,MO-08,Solid R,Does not support Medicare for All,News coverage,https://reichardforrep.com/
Cliff Johnson,MS-01,Solid R,Does not support Medicare for All,Campaign site,https://www.cliffjohnsonforcongress.com/
Bennie Thompson,MS-02,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Michael Chiaradio,MS-03,Solid R,Does not support Medicare for All,Campaign site,https://michaelachiaradio.com/issues
Jeffrey Hulum III,MS-04,Solid R,Does not support Medicare for All,Campaign site,https://www.jeffreyhulumiiiforcongress.com/healthcare
Sam Forstag,MT-01,Likely R,Does not support Medicare for All,Campaign site,https://samformontana.com/policies
Brian Miller,MT-02,Solid R,Supports Medicare for All or single-payer,Campaign site,https://www.miller4congress.com/copy-of-respect-the-u-s-constitution
Don Davis,NC-01,Lean R,Does not support Medicare for All,Campaign site,https://www.votedondavis.com/about
Deborah Ross,NC-02,Solid D,Does not support Medicare for All,Campaign site,https://deborahross.com/priorities/access-to-affordable-health-care
Raymond Smith Jr.,NC-03,Solid R,Does not support Medicare for All,Campaign site,https://raymondsmithfornc.com/platform
Valerie Foushee,NC-04,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Chuck Hubbard,NC-05,Solid R,Does not support Medicare for All,Campaign site,https://hubbardforcongress.com/platform
Cyril Jefferson,NC-06,Solid R,Does not support Medicare for All,Campaign site,https://www.cyrilforcongress.com/issues/healthcare-hunger-relief
Kim Hardy,NC-07,Solid R,Does not support Medicare for All,Campaign site,https://www.kimberlyhardyforcongress.com/priorities
Colby Watson,NC-08,Solid R,Does not support Medicare for All,Campaign site,https://www.colbyforcongress.com/healthcare
Richard Ojeda,NC-09,Solid R,Does not support Medicare for All,News coverage,https://ojedafornc.com/ensuring-quality-healthcare/
Ashley Bell,NC-10,Solid R,Does not support Medicare for All,Campaign site,https://www.ashleybellforcongress.com/issues
Jamie Ager,NC-11,Lean R,Does not support Medicare for All,Campaign site,https://agerforcongress.com/platform
Alma Adams,NC-12,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Paul Barringer,NC-13,Solid R,Does not support Medicare for All,Campaign site,https://paulbarringer.com/
LaKesha Womack,NC-14,Solid R,Does not support Medicare for All,Campaign site,https://www.womack4nc14.com/issues
Trygve Hammer,ND-AL,Solid R,Supports Medicare for All or single-payer,News coverage,https://www.hammerfornd.com/priorities
Chris Backemeyer,NE-01,Solid R,Does not support Medicare for All,Campaign site,https://backnebraska.com/making-healthcare-affordable-accessible
Denise Powell,NE-02,Lean D,Does not support Medicare for All,Campaign site,https://deniseforcongress.org/priorities
Becky Stille,NE-03,Solid R,Does not support Medicare for All,Campaign site,https://www.beckystille2026.com/issues
Donald Norcross,NJ-01,Solid D,Does not support Medicare for All,Campaign site,https://www.donaldnorcrossforcongress.com/issue/improving-health-care
Zack Mullock,NJ-02,Solid R,Supports Medicare for All or single-payer,News coverage,https://mullockforcongress.com/
Herb Conaway,NJ-03,Solid D,Does not support Medicare for All,Campaign site,https://www.herbforcongress.com/
Rachel Peace,NJ-04,Solid R,Does not support Medicare for All,News coverage,https://www.njcitizenaction.org/njca_pac_endorses_rachel_peace_for_cd4
Josh Gottheimer,NJ-05,Solid D,Does not support Medicare for All,Reviewed by hand,https://gottheimer.com/
Frank Pallone,NJ-06,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Rebecca Bennett,NJ-07,Toss Up,Does not support Medicare for All,Campaign site,https://rebeccabennettforcongress.com/priorities/lowering-healthcare-costs
Rob Menendez,NJ-08,Solid D,Does not support Medicare for All,Campaign site,https://www.robmenendez.com/issues/affordability
Nellie Pou,NJ-09,Likely D,Does not support Medicare for All,No source,https://www.nelliepoufornewjersey.com/
LaMonica McIver,NJ-10,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Analilia Mejia,NJ-11,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Adam Hamawy,NJ-12,Solid D,Supports Medicare for All or single-payer,Campaign site,https://hamawyfornj.com/priorities
Melanie Stansbury,NM-01,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Gabe Vasquez,NM-02,Lean D,Does not support Medicare for All,News coverage,https://gabeforcongress.com/issues/
Teresa Leger Fernández,NM-03,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Dina Titus,NV-01,Likely D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Teresa Benitez-Thompson,NV-02,Solid R,Supports Medicare for All or single-payer,News coverage,https://www.kunr.org/local-stories/2026-03-24/meet-teresa-benitez-thompson-democratic-candidate-for-nevadas-cd2
Susie Lee,NV-03,Lean D,Does not support Medicare for All,Reviewed by hand,https://susieleeforcongress.com/
Steven Horsford,NV-04,Likely D,Does not support Medicare for All,Campaign site,https://stevenhorsford.com/priorities
Chris Gallant,NY-01,Solid R,Does not support Medicare for All,Campaign site,https://gallantny.com/mission-three
Patrick Halpin,NY-02,Solid R,Does not support Medicare for All,Campaign site,https://www.halpinforcongress.com/healthcare
Tom Suozzi,NY-03,Lean D,Does not support Medicare for All,Reviewed by hand,https://www.tomsuozzi.com/
Laura Gillen,NY-04,Lean D,Does not support Medicare for All,Campaign site,https://lauragillen.com/meet
Gregory Meeks,NY-05,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Grace Meng,NY-06,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Claire Valdez,NY-07,Solid D,Supports Medicare for All or single-payer,Campaign site,https://clairevaldezforcongress.com/
Hakeem Jeffries,NY-08,Solid D,Does not support Medicare for All,Reviewed by hand,https://jeffriesforcongress.com/
Yvette Clarke,NY-09,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Brad Lander,NY-10,Solid D,Supports Medicare for All or single-payer,Reviewed by hand,https://www.bradlanderforcongress.com/issues
Michael DeCillis,NY-11,Solid R,Supports Medicare for All or single-payer,Campaign site,https://www.decillisforcongress.com/issues
Micah Lasher,NY-12,Solid D,Supports Medicare for All or single-payer,Campaign site,https://micahlasher.com/platform-and-policies
Darializa Avila Chevalier,NY-13,Solid D,Supports Medicare for All or single-payer,Campaign site,https://www.darializaforcongress.com/issues
Alexandria Ocasio-Cortez,NY-14,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Ritchie Torres,NY-15,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
George Latimer,NY-16,Solid D,Does not support Medicare for All,Campaign site,https://latimerforny.com/priorities
Cait Conley,NY-17,Toss Up,Does not support Medicare for All,Campaign site,https://caitconley.com/policy
Pat Ryan,NY-18,Solid D,Does not support Medicare for All,Reviewed by hand,https://patryanforcongress.com/
Josh Riley,NY-19,Likely D,Does not support Medicare for All,News coverage,https://riley.house.gov/media/press-releases
Paul Tonko,NY-20,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Blake Gendebien,NY-21,Solid R,Does not support Medicare for All,Campaign site,https://blakegendebienforcongress.com/issues
John Mannion,NY-22,Solid D,Does not support Medicare for All,Campaign site,https://www.mannionforny.com/on-the-issues/healthcare
Aaron Gies,NY-23,Solid R,Supports Medicare for All or single-payer,News coverage,https://aaronforny23.com/
Alissa Ellman,NY-24,Solid R,Does not support Medicare for All,Campaign site,https://www.ellmanforcongress.com/issues
Joseph Morelle,NY-25,Solid D,Does not support Medicare for All,Campaign site,https://www.votemorelle.com/fixing-healthcare
Tim Kennedy,NY-26,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Greg Landsman,OH-01,Lean D,Does not support Medicare for All,Campaign site,https://www.landsmanforcongress.com/the-issues-1
Jennifer Mazzuckelli,OH-02,Solid R,Does not support Medicare for All,Campaign site,https://jen4oh2.com/
Joyce Beatty,OH-03,Solid D,Does not support Medicare for All,Campaign site,https://beattyforcongress.com/issues-page
Joshua Kolasinski,OH-04,Solid R,Does not support Medicare for All,Campaign site,https://www.joshuaforohio.com/
Brian Shaver,OH-05,Solid R,Does not support Medicare for All,Campaign site,https://www.brianshaverforcongress.com/
Elizabeth Kirtley,OH-06,Solid R,Does not support Medicare for All,Campaign site,https://www.elizabethforus.com/issues
Brian Poindexter,OH-07,Toss Up,Does not support Medicare for All,Reviewed by hand,https://poindexterforcongress.com/
Vanessa Enoch,OH-08,Solid R,Does not support Medicare for All,Campaign site,https://enochforcongress.com/issue/reducing-rising-healthcare-costs
Marcy Kaptur,OH-09,Toss Up,Does not support Medicare for All,Campaign site,https://marcykaptur.com/priorities
Kristina Knickerbocker,OH-10,Likely R,Does not support Medicare for All,Campaign site,https://kristinaknickerbocker.com/my-priorities
Shontel Brown,OH-11,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Jerrad Christian,OH-12,Solid R,Does not support Medicare for All,Campaign site,https://www.christianforohio.com/issues
Emilia Sykes,OH-13,Likely D,Does not support Medicare for All,Reviewed by hand,https://sykes.house.gov/issues/health-care
Maria Jukic,OH-14,Solid R,Does not support Medicare for All,News coverage,https://www.mariajukicforcongress.com/healthcare-the-road-to-universal-coverage/
Don Leonard,OH-15,Likely R,Does not support Medicare for All,Campaign site,https://donforohio.com/values
John Croisant,OK-01,Solid R,Does not support Medicare for All,Campaign site,https://www.croisantforcongress.com/issues
Brandon Wade,OK-02,Solid R,Supports Medicare for All or single-payer,Campaign site,https://brandon4congress.com/policies
Suzie Byrd,OK-03,Solid R,Does not support Medicare for All,News coverage,https://www.ballotready.org/people/suzie-byrd
Mitchell Jacob,OK-04,Solid R,Does not support Medicare for All,Campaign site,https://www.mitchelljacob.com/
Jena Nelson,OK-05,Solid R,Does not support Medicare for All,News coverage,https://jenanelson.com/issues/
Suzanne Bonamici,OR-01,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Chris Beck,OR-02,Solid R,Does not support Medicare for All,Campaign site,https://chrisbeckforcongress.com/district2issues
Maxine Dexter,OR-03,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Val Hoyle,OR-04,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Janelle Bynum,OR-05,Solid D,Does not support Medicare for All,Campaign site,https://www.janellebynum.com/issues/lowering-cost-of-healthcare
Andrea Salinas,OR-06,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Bob Harvie,PA-01,Likely R,Does not support Medicare for All,Campaign site,https://bobharvieforcongress.com/priorities
Brendan Boyle,PA-02,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Chris Rabb,PA-03,Solid D,Supports Medicare for All or single-payer,Campaign site,https://www.chrisrabb.com/platform
Madeleine Dean,PA-04,Solid D,Does not support Medicare for All,Campaign site,https://mad4pa.com/issues/healthcare
Mary Gay Scanlon,PA-05,Solid D,Does not support Medicare for All,Reviewed by hand,https://www.scanlonforcongress.com/about
Chrissy Houlahan,PA-06,Solid D,Does not support Medicare for All,Reviewed by hand,https://chrissyhoulahanforcongress.com/
Bob Brooks,PA-07,Toss Up,Supports Medicare for All or single-payer,News coverage,https://muhlenbergweekly.com/campus-voices/an-interview-with-bob-brooks-candidate-for-pa-07/
Paige Cognetti,PA-08,Toss Up,Does not support Medicare for All,News coverage,https://paigeforpa.com/
Rachel Wallace,PA-09,Solid R,Does not support Medicare for All,Campaign site,https://www.wallaceforcongress.com/
Janelle Stelson,PA-10,Toss Up,Does not support Medicare for All,Campaign site,https://janellestelson.com/priorities
Nancy Mannion,PA-11,Solid R,Does not support Medicare for All,Campaign site,https://www.nancymannion.com/
Summer Lee,PA-12,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Beth Farnham,PA-13,Solid R,Supports Medicare for All or single-payer,Campaign site,https://bethfarnhamforcongress.com/2026/08/09/healthcare-for-all-not-only-saves-money-but-vision
Alan Bradstock,PA-14,Solid R,Does not support Medicare for All,Campaign site,https://www.bradstockforcongress.com/issues
Ray Bilger,PA-15,Solid R,Does not support Medicare for All,Campaign site,https://bilgerforcongress.com/priorities
Justin Wagner,PA-16,Solid R,Supports Medicare for All or single-payer,Campaign site,https://www.justinwagnerforcongress.com/platform
Chris Deluzio,PA-17,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Nancy Lacore,SC-01,Likely R,Does not support Medicare for All,Campaign site,https://www.nancylacore.com/priorities
Zyon Khalifa,SC-02,Solid R,Does not support Medicare for All,Campaign site,https://www.khalifaforcongress.com/platform
Eunice Lehmacher,SC-03,Solid R,Does not support Medicare for All,Campaign site,https://www.euniceforsc.com/
Courtney McClain,SC-04,Solid R,Supports Medicare for All or single-payer,Campaign site,https://www.mcclainforsc.com/issues/issue-2
Mallory Dittmer,SC-05,Solid R,Does not support Medicare for All,Campaign site,https://www.dittmerforcongress.com/priorities/health-care
Jim Clyburn,SC-06,Solid D,Does not support Medicare for All,News coverage,https://www.postandcourier.com/news/south-carolina-rep-jim-clyburn-calls-on-democrats-to-take/article_d4e7549c-1630-11e7-a07e-8728b3fc4778.html
John Vincent,SC-07,Solid R,Does not support Medicare for All,News coverage,https://horrydemocrats.org/about-us/democratic-candidates/john-vincent/
Nikki Gronli,SD-AL,Solid R,Does not support Medicare for All,Campaign site,https://www.nikkigforsd.com/services-8
Kristi Burke,TN-01,Solid R,Supports Medicare for All or single-payer,News coverage,https://www.votekristiburke.com/non-negotiables
Michaela Barnett,TN-02,Solid R,Does not support Medicare for All,Campaign site,https://www.michaelafortennessee.com/healthcare-focused-on-people-not-profits
Anna Golladay,TN-03,Solid R,Does not support Medicare for All,Campaign site,https://annagolladay.com/healthcare
Victoria Broderick,TN-04,Solid R,Supports Medicare for All or single-payer,Reviewed by hand,https://nashvillebanner.com/2026/07/16/victoria-broderick-congress-tennessee-district-4/
Chaz Molder,TN-05,Solid R,Does not support Medicare for All,Campaign site,https://chazmolder.com/issues
Mike Croley,TN-06,Solid R,Does not support Medicare for All,News coverage,https://croleyforcongress.com/what-i-will-fight-for/
Darden Copeland,TN-07,Solid R,Does not support Medicare for All,News coverage,https://nashvillebanner.com/2026/07/16/darden-copeland-congress-tennessee-district-7/
Heidi Kuhn,TN-08,Solid R,Does not support Medicare for All,Campaign site,https://kuhnforcongress.com/issues
Justin J. Pearson,TN-09,Solid R,Supports Medicare for All or single-payer,Campaign site,https://www.votejustinj.com/issues
Yolanda Prince,TX-01,Solid R,Supports Medicare for All or single-payer,Campaign site,https://yolandaprince.com/issues
Shaun Finnie,TX-02,Solid R,Does not support Medicare for All,News coverage,https://shaunfinnieforcongress.com/
Evan Hunt,TX-03,Solid R,Does not support Medicare for All,Campaign site,https://www.electevanhunt.com/
Jason Pearce,TX-04,Solid R,Does not support Medicare for All,News coverage,https://www.pearcefortexas.com/platform
Chelsey Hockett,TX-05,Solid R,Supports Medicare for All or single-payer,News coverage,https://www.lonestarleft.com/p/meet-the-candidates-chelsey-hockett
Danny Minton,TX-06,Solid R,Does not support Medicare for All,Campaign site,https://www.dannyfortexas.com/
Lizzie Fletcher,TX-07,Solid D,Does not support Medicare for All,News coverage,https://www.politifact.com/factchecks/2018/oct/30/john-culberson/lizzie-fletcher-does-not-want-government-funded-un/
Laura Jones,TX-08,Solid R,Supports Medicare for All or single-payer,Campaign site,https://www.laura4tx.com/
Leticia Gutierrez,TX-09,Solid R,Does not support Medicare for All,Campaign site,https://www.leticiaforcongress.com/
Caitlin Rourk,TX-10,Solid R,Does not support Medicare for All,News coverage,https://www.caitlinrourk.com/issues
Claire Reynolds,TX-11,Solid R,Supports Medicare for All or single-payer,Campaign site,https://www.clairereynoldsforcongress.org/
Angela Rodriguez Prilliman,TX-12,Solid R,Supports Medicare for All or single-payer,News coverage,https://www.helifortexas.com/
Mark Nair,TX-13,Solid R,Supports Medicare for All or single-payer,Campaign site,https://www.marknair.com/platform
Thurman Bartie,TX-14,Solid R,Does not support Medicare for All,Campaign site,https://votebartie.org/
Bobby Pulido,TX-15,Lean R,Does not support Medicare for All,Campaign site,https://www.bobbypulidofortexas.com/issues
Veronica Escobar,TX-16,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Casey Shepard,TX-17,Solid R,Does not support Medicare for All,Campaign site,https://caseyshepardforcongress.com/
Christian Menefee,TX-18,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Kyle Rable,TX-19,Solid R,Does not support Medicare for All,Campaign site,https://www.rableforwesttexas.com/
Joaquin Castro,TX-20,Solid D,Does not support Medicare for All,News coverage,https://www.texasobserver.org/texas-democrats-stand-single-payer-health-care/
Kristin Hook,TX-21,Solid R,Does not support Medicare for All,Campaign site,https://www.drkristinhook.org/
Marquette Greene-Scott,TX-22,Solid R,Supports Medicare for All or single-payer,News coverage,https://www.lonestarleft.com/p/which-texas-democratic-congressional
Katy Padilla Stout,TX-23,Likely R,Does not support Medicare for All,Campaign site,https://www.katyforcongress.com/issues
Kevin Burge,TX-24,Solid R,Supports Medicare for All or single-payer,Campaign site,https://www.burgeforcongress.com/
Dione Sims,TX-25,Solid R,Does not support Medicare for All,News coverage,https://dionesimsforcongress.com/
Steven Shook,TX-26,Solid R,Does not support Medicare for All,Campaign site,https://shookforcongress2026.com/
Tanya Lloyd,TX-27,Solid R,Supports Medicare for All or single-payer,News coverage,https://www.lonestarleft.com/p/meet-the-candidates-tanya-lloyd-for
Henry Cuellar,TX-28,Lean D,Does not support Medicare for All,News coverage,https://cuellar.house.gov/issues/issue/?IssueID=3834
Sylvia Garcia,TX-29,Solid D,Does not support Medicare for All,Reviewed by hand,https://www.sylviaforcongress.com/issues
Frederick Haynes III,TX-30,Solid D,Supports Medicare for All or single-payer,Reviewed by hand,https://theintercept.com/2026/02/04/texas-jasmine-crockett-house-primary-frederick-haynes/
Justin Early,TX-31,Solid R,Does not support Medicare for All,Campaign site,https://www.votejustinearly.com/
Dan Barrios,TX-32,Solid R,Does not support Medicare for All,Campaign site,https://www.danbarriosforcongress.com/accesstohealthcare
Colin Allred,TX-33,Solid D,Does not support Medicare for All,Reviewed by hand,https://colinallred.com/
Vicente Gonzalez,TX-34,Toss Up,Does not support Medicare for All,Campaign site,https://vicentegonzalez.com/accomplishments
Johnny Garcia,TX-35,Likely R,Does not support Medicare for All,Campaign site,https://www.votejohnnygarcia.com/general-5
Rhonda Hart,TX-36,Solid R,Does not support Medicare for All,No source,https://hart4congress.com/
Greg Casar,TX-37,Solid D,Supports Medicare for All or single-payer,Campaign site,https://www.casarforcongress.com/issues
Melissa McDonough,TX-38,Solid R,Does not support Medicare for All,Campaign site,https://melissaforcongress.com/
Ben McAdams,UT-01,Solid D,Does not support Medicare for All,Campaign site,https://benmcadams.com/
Peter Crosby,UT-02,Solid R,Supports Medicare for All or single-payer,Campaign site,https://petercrosbyforcongress.org/policies
Kent Udell,UT-03,Solid R,Does not support Medicare for All,Campaign site,https://www.kentudellforcongress.com/
Jonny Larsen,UT-04,Solid R,Does not support Medicare for All,No source,https://jonnyutah4congress.com/
Shannon Taylor,VA-01,Lean R,Does not support Medicare for All,Campaign site,https://shannontaylorva.com/
Elaine Luria,VA-02,Toss Up,Does not support Medicare for All,Campaign site,https://elaineforcongress.com/elaines-plan
Bobby Scott,VA-03,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Jennifer McClellan,VA-04,Solid D,Does not support Medicare for All,Campaign site,https://jennifermcclellan.com/issue/healthcare
Tom Perriello,VA-05,Solid R,Does not support Medicare for All,Campaign site,https://www.tomperriello.com/priorities
Beth Macy,VA-06,Solid R,Supports Medicare for All or single-payer,Campaign site,https://bethmacyforcongress.com/priorities
Eugene Vindman,VA-07,Likely D,Does not support Medicare for All,Campaign site,https://vindmanforcongress.com/issues
Don Beyer,VA-08,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Joy Powers,VA-09,Solid R,Does not support Medicare for All,Campaign site,https://www.joyforva.com/copy-of-priorities
Suhas Subramanyam,VA-10,Solid D,Does not support Medicare for All,Campaign site,https://www.suhasforvirginia.com/issues
James Walkinshaw,VA-11,Solid D,Does not support Medicare for All,Campaign site,https://jameswalkinshaw.org/priorities
Becca Balint,VT-AL,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Suzan DelBene,WA-01,Solid D,Does not support Medicare for All,Campaign site,https://delbeneforcongress.com/issues/health-care
Rick Larsen,WA-02,Solid D,Does not support Medicare for All,Campaign site,https://www.ricklarsen.org/
Marie Gluesenkamp Perez,WA-03,Toss Up,Does not support Medicare for All,Campaign site,https://marieforcongress.com/issues
John Duresky,WA-04,Solid R,Does not support Medicare for All,Campaign site,https://www.johnduresky4congress.com/issues
Carmela Conroy,WA-05,Solid R,Does not support Medicare for All,Campaign site,https://conroy4congress.com/priorities
Emily Randall,WA-06,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Pramila Jayapal,WA-07,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Kim Schrier,WA-08,Solid D,Does not support Medicare for All,Campaign site,https://www.drkimschrier.com/accomplishments
Adam Smith,WA-09,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Marilyn Strickland,WA-10,Solid D,Does not support Medicare for All,News coverage,https://stricklandforwashington.com/priorities/universal-health-care/
Mitchell Berman,WI-01,Likely R,Does not support Medicare for All,Campaign site,https://www.bermanforcongress.com/priorities
Mark Pocan,WI-02,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Rebecca Cooke,WI-03,Toss Up,Does not support Medicare for All,Campaign site,https://cookeforwisconsin.com/priorities
Gwen Moore,WI-04,Solid D,Does not support Medicare for All,Reviewed by hand,https://www.ueunion.org/political-action/2019/ue-members-press-congresswoman-gwen-moore-to-support-medicare-for-all
Andrew Beck,WI-05,Solid R,Does not support Medicare for All,Campaign site,https://www.beckforcongress.com/issues
Brad Smith,WI-06,Solid R,Does not support Medicare for All,Campaign site,https://www.bradsmithforcongress.com/priorities-and-positions
Fred Clark,WI-07,Solid R,Does not support Medicare for All,Campaign site,https://www.clarkforwi.com/issues/issue-2
Rick Crosson,WI-08,Solid R,Does not support Medicare for All,Campaign site,https://rickcrosson.com/issues
Vince George,WV-01,Solid R,Supports Medicare for All or single-payer,Campaign site,https://www.vincegeorgeforcongress.com/
Ace Parsi,WV-02,Solid R,Supports Medicare for All or single-payer,Campaign site,https://www.aceforcongress.com/aceplatform
Lisa F. Kinney,WY-AL,Solid R,Does not support Medicare for All,Campaign site,https://lisakinneyforcongress.com/
